OBJECTID,Island (Code),Date,Observer Initials,Header/Observer Memo,Time (of initial observation),Beach/Location Name (from standardized list),Location Description / Comment,Size,Sex,Beach Position,Body Condition,Seal ID (permanent #),Bleach / Temp #,TAG #,P (Tag Location),Tag Color,% Molt,Disturbance (by observer),Notes,Photos?,created_user,created_date,last_edited_user,last_edited_date,Latitude,Longitude,Mom/Pup Nursing Pair?,GlobalID,x,y
1,15,4/28/2021 0:56,GPS,Glauco Antonio Puig-Santana,4/28/2021 0:57,Kahikilo Beach,High Tide on Southern End of Beach ,A,F,1,M,RG18,None,G18,L,R,0,,With Pup and moved on to be in the water ,Y,mwasser@nps.gov_nps,5/14/2021 20:48,gpuig_santana@nps.gov_nps,5/17/2021 20:51,,,Y,fc0a8118-101b-4950-a09f-0b7967ab618f,-156.9849524,21.19115188
2,15,4/28/2021 1:00,GPS,Glauco Antonio Puig-Santana,4/28/2021 1:00,Kahikilo Beach,On Northern part of beach now ,P,U,0,M,,MP1,None,,,0,,Pup in the water with mother,Y,mwasser@nps.gov_nps,5/14/2021 20:48,gpuig_santana@nps.gov_nps,4/26/2022 18:21,,,Y,7c1d821b-88f8-4ec1-8617-091c7076f0fa,-156.9849524,21.19115188
3,15,4/28/2021 16:10,GPS,Glauco Antonio Puig-Santana,4/28/2021 16:10,Iliopii,,J ,M,0,X,,,,L,R,0,,,Y,mwasser@nps.gov_nps,5/14/2021 20:48,mwasser@nps.gov_nps,5/14/2021 20:48,,,,7cb024c5-2c9e-4523-9837-36dc0685a626,-156.9798601,21.20584382
4,15,5/3/2021 17:26,GPS,Glauco Antonio Puig-Santana,5/3/2021 17:26,Papaloa,Mid Papaloa ,A,F,1,F,RI25,,I26,R,R,0,,Collected placenta. Monk seal mom to MP2. First time pup has been observed. Unable to read tag on right flipper. Did not see a tag on left. Partial tag preset on right flipper. Scare on left eye. ,Y,mwasser@nps.gov_nps,5/14/2021 20:48,gpuig_santana@nps.gov_nps,5/17/2021 20:51,,,Y,c1c847cd-3334-465a-adad-71908993d0d1,-156.9827616,21.19771909
5,15,5/3/2021 17:29,GPS,Glauco Antonio Puig-Santana,5/3/2021 17:27,Papaloa,Mid Papaloa ,P,U,1,X,RP70,MP2,,,,,,MP2 2021. Placenta collected. Pup looks healthy. ,Y,mwasser@nps.gov_nps,5/14/2021 20:48,gpuig_santana@nps.gov_nps,4/26/2022 18:16,,,Y,9ce20e1f-1d41-40f0-80b8-50f7284b3a91,-156.9827616,21.19771909
6,15,5/4/2021 0:29,GPS,Glauco Antonio Puig-Santana,5/3/2021 17:48,Papaloa,South Papaloa,A,F,1,P,RH60,,R60,L,R,0,,Confirmed with Tracy that Female is pregnant. Nearby was RF42 both were sleeping. ,Y,mwasser@nps.gov_nps,5/14/2021 20:48,gpuig_santana@nps.gov_nps,5/17/2021 20:54,,,N,c1ab93f2-e830-4948-9afc-9e3b69ee0a46,-156.9835812,21.19275209
7,15,5/4/2021 0:32,GPS,Glauco Antonio Puig-Santana,5/3/2021 17:50,Papaloa,South Papaloa. ,,M,1,M,RF42,,F42,L,R,0,,Nearby to RH60. Both were asleep. ,Y,mwasser@nps.gov_nps,5/14/2021 20:48,mwasser@nps.gov_nps,5/14/2021 20:48,,,,2d1b58be-af86-4b55-80da-070e58ab3ae4,-156.9835812,21.19275209
8,15,5/4/2021 0:33,GPS,Glauco Antonio Puig-Santana,5/3/2021 18:09,Kahikilo Beach,On beach cove,,F,1,F,RG18 ,,G18 ,L,R,0,,Nursing pup while asleep. ,Y,mwasser@nps.gov_nps,5/14/2021 20:48,gpuig_santana@nps.gov_nps,5/17/2021 20:52,,,Y,86256c58-9148-4131-865a-c46f036da3ec,-156.9848246,21.19142465
9,15,5/4/2021 0:35,GPS,Glauco Antonio Puig-Santana,5/4/2021 6:04,Kahikilo Beach,On Beach cove,P,U,1,M,,MP1,None,,,0,,Nursing while mom was asleep. ,Y,mwasser@nps.gov_nps,5/14/2021 20:48,gpuig_santana@nps.gov_nps,5/17/2021 20:52,,,Y,d73f6743-8209-4aeb-ad5b-c8459e592653,-156.9848246,21.19142465
10,15,5/6/2021 17:50,GPS,Glauco Antonio Puig-Santana,5/6/2021 17:50,Iliopii,Mid Illiopii ,A,M,0,M,RF42,,F43,R,R,0,,Swimming near shore heading south. No photos taken dorsal and right cheek cookie cutter shark scar observed. ,N,mwasser@nps.gov_nps,5/14/2021 20:48,gpuig_santana@nps.gov_nps,5/17/2021 20:54,,,N,30915c45-b253-43a2-9b06-2a5d1ac42bb2,-156.9795732,21.20420506
